Entity-0001 belongs to guild archive. Entity-0001 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0001: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0134 belongs to guild weaving. Entity-0134 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0134: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0100 belongs to guild mining. Entity-0100 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0100: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0174 belongs to guild weaving. Entity-0174 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0174: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0009 belongs to guild archive. Entity-0009 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0009: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0038 belongs to guild weaving. Entity-0038 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0038: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0033 belongs to guild archive. Entity-0033 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0033: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0022 belongs to guild weaving. Entity-0022 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0022: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0017 belongs to guild archive. Entity-0017 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0017: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0121 belongs to guild archive. Entity-0121 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0121: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0201 belongs to guild archive. Entity-0201 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0201: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0008 belongs to guild mechanic. Entity-0008 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0008: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0239 belongs to guild trade. Entity-0239 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0239: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0182 belongs to guild weaving. Entity-0182 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0182: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0047 belongs to guild trade. Entity-0047 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0047: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0167 belongs to guild trade. Entity-0167 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0167: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0179 belongs to guild navigation. Entity-0179 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0179: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0147 belongs to guild navigation. Entity-0147 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0147: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0173 belongs to guild law. Entity-0173 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0173: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0098 belongs to guild botany. Entity-0098 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0098: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0152 belongs to guild mechanic. Entity-0152 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0152: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0216 belongs to guild mechanic. Entity-0216 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0216: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0203 belongs to guild navigation. Entity-0203 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0203: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0073 belongs to guild archive. Entity-0073 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0073: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0150 belongs to guild weaving. Entity-0150 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0150: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0165 belongs to guild law. Entity-0165 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0165: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0223 belongs to guild trade. Entity-0223 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0223: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0206 belongs to guild weaving. Entity-0206 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0206: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0138 belongs to guild botany. Entity-0138 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0138: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0188 belongs to guild mining. Entity-0188 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0188: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0199 belongs to guild trade. Entity-0199 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0199: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0031 belongs to guild trade. Entity-0031 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0031: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0074 belongs to guild botany. Entity-0074 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0074: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0205 belongs to guild law. Entity-0205 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0205: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0242 belongs to guild botany. Entity-0242 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0242: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0027 belongs to guild navigation. Entity-0027 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0027: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0125 belongs to guild law. Entity-0125 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0125: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0248 belongs to guild mechanic. Entity-0248 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0248: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0081 belongs to guild archive. Entity-0081 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0081: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0020 belongs to guild mining. Entity-0020 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0020: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0255 belongs to guild trade. Entity-0255 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0255: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0114 belongs to guild botany. Entity-0114 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0114: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0139 belongs to guild navigation. Entity-0139 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0139: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0036 belongs to guild mining. Entity-0036 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0036: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0061 belongs to guild law. Entity-0061 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0061: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0056 belongs to guild mechanic. Entity-0056 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0056: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0145 belongs to guild archive. Entity-0145 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0145: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0048 belongs to guild mechanic. Entity-0048 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0048: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0016 belongs to guild mechanic. Entity-0016 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0016: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0225 belongs to guild archive. Entity-0225 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0225: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0083 belongs to guild navigation. Entity-0083 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0083: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0219 belongs to guild navigation. Entity-0219 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0219: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0062 belongs to guild weaving. Entity-0062 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0062: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0085 belongs to guild law. Entity-0085 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0085: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0126 belongs to guild weaving. Entity-0126 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0126: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0208 belongs to guild mechanic. Entity-0208 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0208: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0000 belongs to guild mechanic. Entity-0000 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0000: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0160 belongs to guild mechanic. Entity-0160 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0160: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0171 belongs to guild navigation. Entity-0171 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0171: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0181 belongs to guild law. Entity-0181 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0181: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0102 belongs to guild weaving. Entity-0102 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0102: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0184 belongs to guild mechanic. Entity-0184 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0184: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0023 belongs to guild trade. Entity-0023 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0023: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0003 belongs to guild navigation. Entity-0003 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0003: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0140 belongs to guild mining. Entity-0140 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0140: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0015 belongs to guild trade. Entity-0015 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0015: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0250 belongs to guild botany. Entity-0250 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0250: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0133 belongs to guild law. Entity-0133 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0133: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0113 belongs to guild archive. Entity-0113 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0113: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0241 belongs to guild archive. Entity-0241 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0241: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0141 belongs to guild law. Entity-0141 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0141: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0052 belongs to guild mining. Entity-0052 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0052: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0163 belongs to guild navigation. Entity-0163 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0163: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0156 belongs to guild mining. Entity-0156 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0156: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0080 belongs to guild mechanic. Entity-0080 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0080: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0111 belongs to guild trade. Entity-0111 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0111: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0090 belongs to guild botany. Entity-0090 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0090: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0220 belongs to guild mining. Entity-0220 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0220: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0143 belongs to guild trade. Entity-0143 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0143: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0120 belongs to guild mechanic. Entity-0120 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0120: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0084 belongs to guild mining. Entity-0084 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0084: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0175 belongs to guild trade. Entity-0175 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0175: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0217 belongs to guild archive. Entity-0217 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0217: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0018 belongs to guild botany. Entity-0018 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0018: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0186 belongs to guild botany. Entity-0186 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0186: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0025 belongs to guild archive. Entity-0025 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0025: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0079 belongs to guild trade. Entity-0079 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0079: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0037 belongs to guild law. Entity-0037 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0037: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0154 belongs to guild botany. Entity-0154 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0154: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0207 belongs to guild trade. Entity-0207 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0207: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0180 belongs to guild mining. Entity-0180 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0180: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0136 belongs to guild mechanic. Entity-0136 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0136: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0064 belongs to guild mechanic. Entity-0064 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0064: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0204 belongs to guild mining. Entity-0204 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0204: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0158 belongs to guild weaving. Entity-0158 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0158: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0024 belongs to guild mechanic. Entity-0024 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0024: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0193 belongs to guild archive. Entity-0193 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0193: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0234 belongs to guild botany. Entity-0234 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0234: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0072 belongs to guild mechanic. Entity-0072 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0072: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0035 belongs to guild navigation. Entity-0035 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0035: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0129 belongs to guild archive. Entity-0129 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0129: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0055 belongs to guild trade. Entity-0055 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0055: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0232 belongs to guild mechanic. Entity-0232 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0232: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0228 belongs to guild mining. Entity-0228 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0228: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0149 belongs to guild law. Entity-0149 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0149: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0091 belongs to guild navigation. Entity-0091 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0091: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0122 belongs to guild botany. Entity-0122 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0122: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0077 belongs to guild law. Entity-0077 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0077: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0212 belongs to guild mining. Entity-0212 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0212: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0200 belongs to guild mechanic. Entity-0200 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0200: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0235 belongs to guild navigation. Entity-0235 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0235: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0103 belongs to guild trade. Entity-0103 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0103: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0124 belongs to guild mining. Entity-0124 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0124: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0130 belongs to guild botany. Entity-0130 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0130: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0247 belongs to guild trade. Entity-0247 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0247: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0066 belongs to guild botany. Entity-0066 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0066: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0010 belongs to guild botany. Entity-0010 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0010: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0107 belongs to guild navigation. Entity-0107 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0107: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0227 belongs to guild navigation. Entity-0227 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0227: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0194 belongs to guild botany. Entity-0194 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0194: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0197 belongs to guild law. Entity-0197 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0197: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
