In archive gamma, Unit-0000 must take route north loop, has quota 10, uses permission read, opens window 2, and if rain occurs then the required action is delay. Query answer: Unit-0000 route=north loop; quota=10; permission=read; window=2; cause=rain; action=delay.
In archive gamma, Unit-0135 must take route north loop, has quota 75, uses permission read, opens window 11, and if rain occurs then the required action is delay. Query answer: Unit-0135 route=north loop; quota=75; permission=read; window=11; cause=rain; action=delay.
In archive gamma, Unit-0136 must take route east ridge, has quota 82, uses permission survey, opens window 16, and if heat occurs then the required action is anchor. Query answer: Unit-0136 route=east ridge; quota=82; permission=survey; window=16; cause=heat; action=anchor.
In archive gamma, Unit-0137 must take route amber ferry, has quota 89, uses permission signal, opens window 3, and if static occurs then the required action is cooldown. Query answer: Unit-0137 route=amber ferry; quota=89; permission=signal; window=3; cause=static; action=cooldown.
In archive gamma, Unit-0138 must take route delta canal, has quota 16, uses permission dock, opens window 8, and if wind occurs then the required action is inspect. Query answer: Unit-0138 route=delta canal; quota=16; permission=dock; window=8; cause=wind; action=inspect.
In archive gamma, Unit-0139 must take route silver spur, has quota 23, uses permission export, opens window 13, and if fog occurs then the required action is reroute. Query answer: Unit-0139 route=silver spur; quota=23; permission=export; window=13; cause=fog; action=reroute.
In archive gamma, Unit-0140 must take route north loop, has quota 30, uses permission read, opens window 18, and if rain occurs then the required action is delay. Query answer: Unit-0140 route=north loop; quota=30; permission=read; window=18; cause=rain; action=delay.
In archive gamma, Unit-0141 must take route east ridge, has quota 37, uses permission survey, opens window 5, and if heat occurs then the required action is anchor. Query answer: Unit-0141 route=east ridge; quota=37; permission=survey; window=5; cause=heat; action=anchor.
In archive gamma, Unit-0142 must take route amber ferry, has quota 44, uses permission signal, opens window 10, and if static occurs then the required action is cooldown. Query answer: Unit-0142 route=amber ferry; quota=44; permission=signal; window=10; cause=static; action=cooldown.
In archive gamma, Unit-0143 must take route delta canal, has quota 51, uses permission dock, opens window 15, and if wind occurs then the required action is inspect. Query answer: Unit-0143 route=delta canal; quota=51; permission=dock; window=15; cause=wind; action=inspect.
In archive gamma, Unit-0144 must take route silver spur, has quota 58, uses permission export, opens window 2, and if fog occurs then the required action is reroute. Query answer: Unit-0144 route=silver spur; quota=58; permission=export; window=2; cause=fog; action=reroute.
In archive gamma, Unit-0145 must take route north loop, has quota 65, uses permission read, opens window 7, and if rain occurs then the required action is delay. Query answer: Unit-0145 route=north loop; quota=65; permission=read; window=7; cause=rain; action=delay.
In archive gamma, Unit-0146 must take route east ridge, has quota 72, uses permission survey, opens window 12, and if heat occurs then the required action is anchor. Query answer: Unit-0146 route=east ridge; quota=72; permission=survey; window=12; cause=heat; action=anchor.
In archive gamma, Unit-0147 must take route amber ferry, has quota 79, uses permission signal, opens window 17, and if static occurs then the required action is cooldown. Query answer: Unit-0147 route=amber ferry; quota=79; permission=signal; window=17; cause=static; action=cooldown.
In archive gamma, Unit-0148 must take route delta canal, has quota 86, uses permission dock, opens window 4, and if wind occurs then the required action is inspect. Query answer: Unit-0148 route=delta canal; quota=86; permission=dock; window=4; cause=wind; action=inspect.
In archive gamma, Unit-0149 must take route silver spur, has quota 13, uses permission export, opens window 9, and if fog occurs then the required action is reroute. Query answer: Unit-0149 route=silver spur; quota=13; permission=export; window=9; cause=fog; action=reroute.
In archive gamma, Unit-0150 must take route north loop, has quota 20, uses permission read, opens window 14, and if rain occurs then the required action is delay. Query answer: Unit-0150 route=north loop; quota=20; permission=read; window=14; cause=rain; action=delay.
In archive gamma, Unit-0151 must take route east ridge, has quota 27, uses permission survey, opens window 19, and if heat occurs then the required action is anchor. Query answer: Unit-0151 route=east ridge; quota=27; permission=survey; window=19; cause=heat; action=anchor.
In archive gamma, Unit-0152 must take route amber ferry, has quota 34, uses permission signal, opens window 6, and if static occurs then the required action is cooldown. Query answer: Unit-0152 route=amber ferry; quota=34; permission=signal; window=6; cause=static; action=cooldown.
In archive gamma, Unit-0153 must take route delta canal, has quota 41, uses permission dock, opens window 11, and if wind occurs then the required action is inspect. Query answer: Unit-0153 route=delta canal; quota=41; permission=dock; window=11; cause=wind; action=inspect.
In archive gamma, Unit-0154 must take route silver spur, has quota 48, uses permission export, opens window 16, and if fog occurs then the required action is reroute. Query answer: Unit-0154 route=silver spur; quota=48; permission=export; window=16; cause=fog; action=reroute.
In archive gamma, Unit-0155 must take route north loop, has quota 55, uses permission read, opens window 3, and if rain occurs then the required action is delay. Query answer: Unit-0155 route=north loop; quota=55; permission=read; window=3; cause=rain; action=delay.
In archive gamma, Unit-0156 must take route east ridge, has quota 62, uses permission survey, opens window 8, and if heat occurs then the required action is anchor. Query answer: Unit-0156 route=east ridge; quota=62; permission=survey; window=8; cause=heat; action=anchor.
In archive gamma, Unit-0157 must take route amber ferry, has quota 69, uses permission signal, opens window 13, and if static occurs then the required action is cooldown. Query answer: Unit-0157 route=amber ferry; quota=69; permission=signal; window=13; cause=static; action=cooldown.
In archive gamma, Unit-0158 must take route delta canal, has quota 76, uses permission dock, opens window 18, and if wind occurs then the required action is inspect. Query answer: Unit-0158 route=delta canal; quota=76; permission=dock; window=18; cause=wind; action=inspect.
In archive gamma, Unit-0159 must take route silver spur, has quota 83, uses permission export, opens window 5, and if fog occurs then the required action is reroute. Query answer: Unit-0159 route=silver spur; quota=83; permission=export; window=5; cause=fog; action=reroute.
In archive gamma, Unit-0160 must take route north loop, has quota 10, uses permission read, opens window 10, and if rain occurs then the required action is delay. Query answer: Unit-0160 route=north loop; quota=10; permission=read; window=10; cause=rain; action=delay.
In archive gamma, Unit-0161 must take route east ridge, has quota 17, uses permission survey, opens window 15, and if heat occurs then the required action is anchor. Query answer: Unit-0161 route=east ridge; quota=17; permission=survey; window=15; cause=heat; action=anchor.
In archive gamma, Unit-0162 must take route amber ferry, has quota 24, uses permission signal, opens window 2, and if static occurs then the required action is cooldown. Query answer: Unit-0162 route=amber ferry; quota=24; permission=signal; window=2; cause=static; action=cooldown.
In archive gamma, Unit-0163 must take route delta canal, has quota 31, uses permission dock, opens window 7, and if wind occurs then the required action is inspect. Query answer: Unit-0163 route=delta canal; quota=31; permission=dock; window=7; cause=wind; action=inspect.
In archive gamma, Unit-0164 must take route silver spur, has quota 38, uses permission export, opens window 12, and if fog occurs then the required action is reroute. Query answer: Unit-0164 route=silver spur; quota=38; permission=export; window=12; cause=fog; action=reroute.
In archive gamma, Unit-0165 must take route north loop, has quota 45, uses permission read, opens window 17, and if rain occurs then the required action is delay. Query answer: Unit-0165 route=north loop; quota=45; permission=read; window=17; cause=rain; action=delay.
In archive gamma, Unit-0166 must take route east ridge, has quota 52, uses permission survey, opens window 4, and if heat occurs then the required action is anchor. Query answer: Unit-0166 route=east ridge; quota=52; permission=survey; window=4; cause=heat; action=anchor.
In archive gamma, Unit-0167 must take route amber ferry, has quota 59, uses permission signal, opens window 9, and if static occurs then the required action is cooldown. Query answer: Unit-0167 route=amber ferry; quota=59; permission=signal; window=9; cause=static; action=cooldown.
In archive gamma, Unit-0168 must take route delta canal, has quota 66, uses permission dock, opens window 14, and if wind occurs then the required action is inspect. Query answer: Unit-0168 route=delta canal; quota=66; permission=dock; window=14; cause=wind; action=inspect.
In archive gamma, Unit-0169 must take route silver spur, has quota 73, uses permission export, opens window 19, and if fog occurs then the required action is reroute. Query answer: Unit-0169 route=silver spur; quota=73; permission=export; window=19; cause=fog; action=reroute.
In archive gamma, Unit-0170 must take route north loop, has quota 80, uses permission read, opens window 6, and if rain occurs then the required action is delay. Query answer: Unit-0170 route=north loop; quota=80; permission=read; window=6; cause=rain; action=delay.
In archive gamma, Unit-0171 must take route east ridge, has quota 87, uses permission survey, opens window 11, and if heat occurs then the required action is anchor. Query answer: Unit-0171 route=east ridge; quota=87; permission=survey; window=11; cause=heat; action=anchor.
In archive gamma, Unit-0172 must take route amber ferry, has quota 14, uses permission signal, opens window 16, and if static occurs then the required action is cooldown. Query answer: Unit-0172 route=amber ferry; quota=14; permission=signal; window=16; cause=static; action=cooldown.
In archive gamma, Unit-0173 must take route delta canal, has quota 21, uses permission dock, opens window 3, and if wind occurs then the required action is inspect. Query answer: Unit-0173 route=delta canal; quota=21; permission=dock; window=3; cause=wind; action=inspect.
In archive gamma, Unit-0174 must take route silver spur, has quota 28, uses permission export, opens window 8, and if fog occurs then the required action is reroute. Query answer: Unit-0174 route=silver spur; quota=28; permission=export; window=8; cause=fog; action=reroute.
In archive gamma, Unit-0175 must take route north loop, has quota 35, uses permission read, opens window 13, and if rain occurs then the required action is delay. Query answer: Unit-0175 route=north loop; quota=35; permission=read; window=13; cause=rain; action=delay.
In archive gamma, Unit-0176 must take route east ridge, has quota 42, uses permission survey, opens window 18, and if heat occurs then the required action is anchor. Query answer: Unit-0176 route=east ridge; quota=42; permission=survey; window=18; cause=heat; action=anchor.
In archive gamma, Unit-0177 must take route amber ferry, has quota 49, uses permission signal, opens window 5, and if static occurs then the required action is cooldown. Query answer: Unit-0177 route=amber ferry; quota=49; permission=signal; window=5; cause=static; action=cooldown.
In archive gamma, Unit-0178 must take route delta canal, has quota 56, uses permission dock, opens window 10, and if wind occurs then the required action is inspect. Query answer: Unit-0178 route=delta canal; quota=56; permission=dock; window=10; cause=wind; action=inspect.
In archive gamma, Unit-0179 must take route silver spur, has quota 63, uses permission export, opens window 15, and if fog occurs then the required action is reroute. Query answer: Unit-0179 route=silver spur; quota=63; permission=export; window=15; cause=fog; action=reroute.
In archive gamma, Unit-0180 must take route north loop, has quota 70, uses permission read, opens window 2, and if rain occurs then the required action is delay. Query answer: Unit-0180 route=north loop; quota=70; permission=read; window=2; cause=rain; action=delay.
In archive gamma, Unit-0181 must take route east ridge, has quota 77, uses permission survey, opens window 7, and if heat occurs then the required action is anchor. Query answer: Unit-0181 route=east ridge; quota=77; permission=survey; window=7; cause=heat; action=anchor.
In archive gamma, Unit-0182 must take route amber ferry, has quota 84, uses permission signal, opens window 12, and if static occurs then the required action is cooldown. Query answer: Unit-0182 route=amber ferry; quota=84; permission=signal; window=12; cause=static; action=cooldown.
In archive gamma, Unit-0183 must take route delta canal, has quota 11, uses permission dock, opens window 17, and if wind occurs then the required action is inspect. Query answer: Unit-0183 route=delta canal; quota=11; permission=dock; window=17; cause=wind; action=inspect.
In archive gamma, Unit-0184 must take route silver spur, has quota 18, uses permission export, opens window 4, and if fog occurs then the required action is reroute. Query answer: Unit-0184 route=silver spur; quota=18; permission=export; window=4; cause=fog; action=reroute.
In archive gamma, Unit-0185 must take route north loop, has quota 25, uses permission read, opens window 9, and if rain occurs then the required action is delay. Query answer: Unit-0185 route=north loop; quota=25; permission=read; window=9; cause=rain; action=delay.
In archive gamma, Unit-0186 must take route east ridge, has quota 32, uses permission survey, opens window 14, and if heat occurs then the required action is anchor. Query answer: Unit-0186 route=east ridge; quota=32; permission=survey; window=14; cause=heat; action=anchor.
In archive gamma, Unit-0187 must take route amber ferry, has quota 39, uses permission signal, opens window 19, and if static occurs then the required action is cooldown. Query answer: Unit-0187 route=amber ferry; quota=39; permission=signal; window=19; cause=static; action=cooldown.
In archive gamma, Unit-0188 must take route delta canal, has quota 46, uses permission dock, opens window 6, and if wind occurs then the required action is inspect. Query answer: Unit-0188 route=delta canal; quota=46; permission=dock; window=6; cause=wind; action=inspect.
In archive gamma, Unit-0189 must take route silver spur, has quota 53, uses permission export, opens window 11, and if fog occurs then the required action is reroute. Query answer: Unit-0189 route=silver spur; quota=53; permission=export; window=11; cause=fog; action=reroute.
In archive gamma, Unit-0190 must take route north loop, has quota 60, uses permission read, opens window 16, and if rain occurs then the required action is delay. Query answer: Unit-0190 route=north loop; quota=60; permission=read; window=16; cause=rain; action=delay.
In archive gamma, Unit-0191 must take route east ridge, has quota 67, uses permission survey, opens window 3, and if heat occurs then the required action is anchor. Query answer: Unit-0191 route=east ridge; quota=67; permission=survey; window=3; cause=heat; action=anchor.
In archive gamma, Unit-0192 must take route amber ferry, has quota 74, uses permission signal, opens window 8, and if static occurs then the required action is cooldown. Query answer: Unit-0192 route=amber ferry; quota=74; permission=signal; window=8; cause=static; action=cooldown.
In archive gamma, Unit-0193 must take route delta canal, has quota 81, uses permission dock, opens window 13, and if wind occurs then the required action is inspect. Query answer: Unit-0193 route=delta canal; quota=81; permission=dock; window=13; cause=wind; action=inspect.
In archive gamma, Unit-0194 must take route silver spur, has quota 88, uses permission export, opens window 18, and if fog occurs then the required action is reroute. Query answer: Unit-0194 route=silver spur; quota=88; permission=export; window=18; cause=fog; action=reroute.
In archive gamma, Unit-0195 must take route north loop, has quota 15, uses permission read, opens window 5, and if rain occurs then the required action is delay. Query answer: Unit-0195 route=north loop; quota=15; permission=read; window=5; cause=rain; action=delay.
In archive gamma, Unit-0196 must take route east ridge, has quota 22, uses permission survey, opens window 10, and if heat occurs then the required action is anchor. Query answer: Unit-0196 route=east ridge; quota=22; permission=survey; window=10; cause=heat; action=anchor.
In archive gamma, Unit-0197 must take route amber ferry, has quota 29, uses permission signal, opens window 15, and if static occurs then the required action is cooldown. Query answer: Unit-0197 route=amber ferry; quota=29; permission=signal; window=15; cause=static; action=cooldown.
In archive gamma, Unit-0198 must take route delta canal, has quota 36, uses permission dock, opens window 2, and if wind occurs then the required action is inspect. Query answer: Unit-0198 route=delta canal; quota=36; permission=dock; window=2; cause=wind; action=inspect.
In archive gamma, Unit-0199 must take route silver spur, has quota 43, uses permission export, opens window 7, and if fog occurs then the required action is reroute. Query answer: Unit-0199 route=silver spur; quota=43; permission=export; window=7; cause=fog; action=reroute.
In archive gamma, Unit-0200 must take route north loop, has quota 50, uses permission read, opens window 12, and if rain occurs then the required action is delay. Query answer: Unit-0200 route=north loop; quota=50; permission=read; window=12; cause=rain; action=delay.
In archive gamma, Unit-0201 must take route east ridge, has quota 57, uses permission survey, opens window 17, and if heat occurs then the required action is anchor. Query answer: Unit-0201 route=east ridge; quota=57; permission=survey; window=17; cause=heat; action=anchor.
In archive gamma, Unit-0202 must take route amber ferry, has quota 64, uses permission signal, opens window 4, and if static occurs then the required action is cooldown. Query answer: Unit-0202 route=amber ferry; quota=64; permission=signal; window=4; cause=static; action=cooldown.
In archive gamma, Unit-0203 must take route delta canal, has quota 71, uses permission dock, opens window 9, and if wind occurs then the required action is inspect. Query answer: Unit-0203 route=delta canal; quota=71; permission=dock; window=9; cause=wind; action=inspect.
In archive gamma, Unit-0204 must take route silver spur, has quota 78, uses permission export, opens window 14, and if fog occurs then the required action is reroute. Query answer: Unit-0204 route=silver spur; quota=78; permission=export; window=14; cause=fog; action=reroute.
In archive gamma, Unit-0205 must take route north loop, has quota 85, uses permission read, opens window 19, and if rain occurs then the required action is delay. Query answer: Unit-0205 route=north loop; quota=85; permission=read; window=19; cause=rain; action=delay.
In archive gamma, Unit-0206 must take route east ridge, has quota 12, uses permission survey, opens window 6, and if heat occurs then the required action is anchor. Query answer: Unit-0206 route=east ridge; quota=12; permission=survey; window=6; cause=heat; action=anchor.
In archive gamma, Unit-0207 must take route amber ferry, has quota 19, uses permission signal, opens window 11, and if static occurs then the required action is cooldown. Query answer: Unit-0207 route=amber ferry; quota=19; permission=signal; window=11; cause=static; action=cooldown.
In archive gamma, Unit-0208 must take route delta canal, has quota 26, uses permission dock, opens window 16, and if wind occurs then the required action is inspect. Query answer: Unit-0208 route=delta canal; quota=26; permission=dock; window=16; cause=wind; action=inspect.
In archive gamma, Unit-0209 must take route silver spur, has quota 33, uses permission export, opens window 3, and if fog occurs then the required action is reroute. Query answer: Unit-0209 route=silver spur; quota=33; permission=export; window=3; cause=fog; action=reroute.
In archive gamma, Unit-0210 must take route north loop, has quota 40, uses permission read, opens window 8, and if rain occurs then the required action is delay. Query answer: Unit-0210 route=north loop; quota=40; permission=read; window=8; cause=rain; action=delay.
In archive gamma, Unit-0211 must take route east ridge, has quota 47, uses permission survey, opens window 13, and if heat occurs then the required action is anchor. Query answer: Unit-0211 route=east ridge; quota=47; permission=survey; window=13; cause=heat; action=anchor.
In archive gamma, Unit-0212 must take route amber ferry, has quota 54, uses permission signal, opens window 18, and if static occurs then the required action is cooldown. Query answer: Unit-0212 route=amber ferry; quota=54; permission=signal; window=18; cause=static; action=cooldown.
In archive gamma, Unit-0213 must take route delta canal, has quota 61, uses permission dock, opens window 5, and if wind occurs then the required action is inspect. Query answer: Unit-0213 route=delta canal; quota=61; permission=dock; window=5; cause=wind; action=inspect.
In archive gamma, Unit-0214 must take route silver spur, has quota 68, uses permission export, opens window 10, and if fog occurs then the required action is reroute. Query answer: Unit-0214 route=silver spur; quota=68; permission=export; window=10; cause=fog; action=reroute.
In archive gamma, Unit-0215 must take route north loop, has quota 75, uses permission read, opens window 15, and if rain occurs then the required action is delay. Query answer: Unit-0215 route=north loop; quota=75; permission=read; window=15; cause=rain; action=delay.
In archive gamma, Unit-0216 must take route east ridge, has quota 82, uses permission survey, opens window 2, and if heat occurs then the required action is anchor. Query answer: Unit-0216 route=east ridge; quota=82; permission=survey; window=2; cause=heat; action=anchor.
In archive gamma, Unit-0217 must take route amber ferry, has quota 89, uses permission signal, opens window 7, and if static occurs then the required action is cooldown. Query answer: Unit-0217 route=amber ferry; quota=89; permission=signal; window=7; cause=static; action=cooldown.
In archive gamma, Unit-0218 must take route delta canal, has quota 16, uses permission dock, opens window 12, and if wind occurs then the required action is inspect. Query answer: Unit-0218 route=delta canal; quota=16; permission=dock; window=12; cause=wind; action=inspect.
In archive gamma, Unit-0219 must take route silver spur, has quota 23, uses permission export, opens window 17, and if fog occurs then the required action is reroute. Query answer: Unit-0219 route=silver spur; quota=23; permission=export; window=17; cause=fog; action=reroute.
In archive gamma, Unit-0220 must take route north loop, has quota 30, uses permission read, opens window 4, and if rain occurs then the required action is delay. Query answer: Unit-0220 route=north loop; quota=30; permission=read; window=4; cause=rain; action=delay.
In archive gamma, Unit-0221 must take route east ridge, has quota 37, uses permission survey, opens window 9, and if heat occurs then the required action is anchor. Query answer: Unit-0221 route=east ridge; quota=37; permission=survey; window=9; cause=heat; action=anchor.
In archive gamma, Unit-0222 must take route amber ferry, has quota 44, uses permission signal, opens window 14, and if static occurs then the required action is cooldown. Query answer: Unit-0222 route=amber ferry; quota=44; permission=signal; window=14; cause=static; action=cooldown.
In archive gamma, Unit-0223 must take route delta canal, has quota 51, uses permission dock, opens window 19, and if wind occurs then the required action is inspect. Query answer: Unit-0223 route=delta canal; quota=51; permission=dock; window=19; cause=wind; action=inspect.
In archive gamma, Unit-0224 must take route silver spur, has quota 58, uses permission export, opens window 6, and if fog occurs then the required action is reroute. Query answer: Unit-0224 route=silver spur; quota=58; permission=export; window=6; cause=fog; action=reroute.
In archive gamma, Unit-0225 must take route north loop, has quota 65, uses permission read, opens window 11, and if rain occurs then the required action is delay. Query answer: Unit-0225 route=north loop; quota=65; permission=read; window=11; cause=rain; action=delay.
In archive gamma, Unit-0226 must take route east ridge, has quota 72, uses permission survey, opens window 16, and if heat occurs then the required action is anchor. Query answer: Unit-0226 route=east ridge; quota=72; permission=survey; window=16; cause=heat; action=anchor.
In archive gamma, Unit-0227 must take route amber ferry, has quota 79, uses permission signal, opens window 3, and if static occurs then the required action is cooldown. Query answer: Unit-0227 route=amber ferry; quota=79; permission=signal; window=3; cause=static; action=cooldown.
In archive gamma, Unit-0228 must take route delta canal, has quota 86, uses permission dock, opens window 8, and if wind occurs then the required action is inspect. Query answer: Unit-0228 route=delta canal; quota=86; permission=dock; window=8; cause=wind; action=inspect.
In archive gamma, Unit-0229 must take route silver spur, has quota 13, uses permission export, opens window 13, and if fog occurs then the required action is reroute. Query answer: Unit-0229 route=silver spur; quota=13; permission=export; window=13; cause=fog; action=reroute.
In archive gamma, Unit-0230 must take route north loop, has quota 20, uses permission read, opens window 18, and if rain occurs then the required action is delay. Query answer: Unit-0230 route=north loop; quota=20; permission=read; window=18; cause=rain; action=delay.
In archive gamma, Unit-0231 must take route east ridge, has quota 27, uses permission survey, opens window 5, and if heat occurs then the required action is anchor. Query answer: Unit-0231 route=east ridge; quota=27; permission=survey; window=5; cause=heat; action=anchor.
In archive gamma, Unit-0232 must take route amber ferry, has quota 34, uses permission signal, opens window 10, and if static occurs then the required action is cooldown. Query answer: Unit-0232 route=amber ferry; quota=34; permission=signal; window=10; cause=static; action=cooldown.
In archive gamma, Unit-0233 must take route delta canal, has quota 41, uses permission dock, opens window 15, and if wind occurs then the required action is inspect. Query answer: Unit-0233 route=delta canal; quota=41; permission=dock; window=15; cause=wind; action=inspect.
In archive gamma, Unit-0234 must take route silver spur, has quota 48, uses permission export, opens window 2, and if fog occurs then the required action is reroute. Query answer: Unit-0234 route=silver spur; quota=48; permission=export; window=2; cause=fog; action=reroute.
In archive gamma, Unit-0235 must take route north loop, has quota 55, uses permission read, opens window 7, and if rain occurs then the required action is delay. Query answer: Unit-0235 route=north loop; quota=55; permission=read; window=7; cause=rain; action=delay.
In archive gamma, Unit-0236 must take route east ridge, has quota 62, uses permission survey, opens window 12, and if heat occurs then the required action is anchor. Query answer: Unit-0236 route=east ridge; quota=62; permission=survey; window=12; cause=heat; action=anchor.
In archive gamma, Unit-0237 must take route amber ferry, has quota 69, uses permission signal, opens window 17, and if static occurs then the required action is cooldown. Query answer: Unit-0237 route=amber ferry; quota=69; permission=signal; window=17; cause=static; action=cooldown.
In archive gamma, Unit-0238 must take route delta canal, has quota 76, uses permission dock, opens window 4, and if wind occurs then the required action is inspect. Query answer: Unit-0238 route=delta canal; quota=76; permission=dock; window=4; cause=wind; action=inspect.
In archive gamma, Unit-0239 must take route silver spur, has quota 83, uses permission export, opens window 9, and if fog occurs then the required action is reroute. Query answer: Unit-0239 route=silver spur; quota=83; permission=export; window=9; cause=fog; action=reroute.
In archive gamma, Unit-0240 must take route north loop, has quota 10, uses permission read, opens window 14, and if rain occurs then the required action is delay. Query answer: Unit-0240 route=north loop; quota=10; permission=read; window=14; cause=rain; action=delay.
In archive gamma, Unit-0241 must take route east ridge, has quota 17, uses permission survey, opens window 19, and if heat occurs then the required action is anchor. Query answer: Unit-0241 route=east ridge; quota=17; permission=survey; window=19; cause=heat; action=anchor.
In archive gamma, Unit-0242 must take route amber ferry, has quota 24, uses permission signal, opens window 6, and if static occurs then the required action is cooldown. Query answer: Unit-0242 route=amber ferry; quota=24; permission=signal; window=6; cause=static; action=cooldown.
In archive gamma, Unit-0243 must take route delta canal, has quota 31, uses permission dock, opens window 11, and if wind occurs then the required action is inspect. Query answer: Unit-0243 route=delta canal; quota=31; permission=dock; window=11; cause=wind; action=inspect.
In archive gamma, Unit-0244 must take route silver spur, has quota 38, uses permission export, opens window 16, and if fog occurs then the required action is reroute. Query answer: Unit-0244 route=silver spur; quota=38; permission=export; window=16; cause=fog; action=reroute.
In archive gamma, Unit-0245 must take route north loop, has quota 45, uses permission read, opens window 3, and if rain occurs then the required action is delay. Query answer: Unit-0245 route=north loop; quota=45; permission=read; window=3; cause=rain; action=delay.
In archive gamma, Unit-0246 must take route east ridge, has quota 52, uses permission survey, opens window 8, and if heat occurs then the required action is anchor. Query answer: Unit-0246 route=east ridge; quota=52; permission=survey; window=8; cause=heat; action=anchor.
In archive gamma, Unit-0247 must take route amber ferry, has quota 59, uses permission signal, opens window 13, and if static occurs then the required action is cooldown. Query answer: Unit-0247 route=amber ferry; quota=59; permission=signal; window=13; cause=static; action=cooldown.
In archive gamma, Unit-0248 must take route delta canal, has quota 66, uses permission dock, opens window 18, and if wind occurs then the required action is inspect. Query answer: Unit-0248 route=delta canal; quota=66; permission=dock; window=18; cause=wind; action=inspect.
In archive gamma, Unit-0249 must take route silver spur, has quota 73, uses permission export, opens window 5, and if fog occurs then the required action is reroute. Query answer: Unit-0249 route=silver spur; quota=73; permission=export; window=5; cause=fog; action=reroute.
In archive gamma, Unit-0250 must take route north loop, has quota 80, uses permission read, opens window 10, and if rain occurs then the required action is delay. Query answer: Unit-0250 route=north loop; quota=80; permission=read; window=10; cause=rain; action=delay.
In archive gamma, Unit-0251 must take route east ridge, has quota 87, uses permission survey, opens window 15, and if heat occurs then the required action is anchor. Query answer: Unit-0251 route=east ridge; quota=87; permission=survey; window=15; cause=heat; action=anchor.
In archive gamma, Unit-0252 must take route amber ferry, has quota 14, uses permission signal, opens window 2, and if static occurs then the required action is cooldown. Query answer: Unit-0252 route=amber ferry; quota=14; permission=signal; window=2; cause=static; action=cooldown.
In archive gamma, Unit-0253 must take route delta canal, has quota 21, uses permission dock, opens window 7, and if wind occurs then the required action is inspect. Query answer: Unit-0253 route=delta canal; quota=21; permission=dock; window=7; cause=wind; action=inspect.
In archive gamma, Unit-0254 must take route silver spur, has quota 28, uses permission export, opens window 12, and if fog occurs then the required action is reroute. Query answer: Unit-0254 route=silver spur; quota=28; permission=export; window=12; cause=fog; action=reroute.
In archive gamma, Unit-0255 must take route north loop, has quota 35, uses permission read, opens window 17, and if rain occurs then the required action is delay. Query answer: Unit-0255 route=north loop; quota=35; permission=read; window=17; cause=rain; action=delay.
In archive gamma, Unit-0256 must take route east ridge, has quota 42, uses permission survey, opens window 4, and if heat occurs then the required action is anchor. Query answer: Unit-0256 route=east ridge; quota=42; permission=survey; window=4; cause=heat; action=anchor.
In archive gamma, Unit-0257 must take route amber ferry, has quota 49, uses permission signal, opens window 9, and if static occurs then the required action is cooldown. Query answer: Unit-0257 route=amber ferry; quota=49; permission=signal; window=9; cause=static; action=cooldown.
In archive gamma, Unit-0258 must take route delta canal, has quota 56, uses permission dock, opens window 14, and if wind occurs then the required action is inspect. Query answer: Unit-0258 route=delta canal; quota=56; permission=dock; window=14; cause=wind; action=inspect.
In archive gamma, Unit-0259 must take route silver spur, has quota 63, uses permission export, opens window 19, and if fog occurs then the required action is reroute. Query answer: Unit-0259 route=silver spur; quota=63; permission=export; window=19; cause=fog; action=reroute.
In archive gamma, Unit-0260 must take route north loop, has quota 70, uses permission read, opens window 6, and if rain occurs then the required action is delay. Query answer: Unit-0260 route=north loop; quota=70; permission=read; window=6; cause=rain; action=delay.
In archive gamma, Unit-0261 must take route east ridge, has quota 77, uses permission survey, opens window 11, and if heat occurs then the required action is anchor. Query answer: Unit-0261 route=east ridge; quota=77; permission=survey; window=11; cause=heat; action=anchor.
In archive gamma, Unit-0262 must take route amber ferry, has quota 84, uses permission signal, opens window 16, and if static occurs then the required action is cooldown. Query answer: Unit-0262 route=amber ferry; quota=84; permission=signal; window=16; cause=static; action=cooldown.
In archive gamma, Unit-0263 must take route delta canal, has quota 11, uses permission dock, opens window 3, and if wind occurs then the required action is inspect. Query answer: Unit-0263 route=delta canal; quota=11; permission=dock; window=3; cause=wind; action=inspect.
In archive gamma, Unit-0264 must take route silver spur, has quota 18, uses permission export, opens window 8, and if fog occurs then the required action is reroute. Query answer: Unit-0264 route=silver spur; quota=18; permission=export; window=8; cause=fog; action=reroute.
In archive gamma, Unit-0265 must take route north loop, has quota 25, uses permission read, opens window 13, and if rain occurs then the required action is delay. Query answer: Unit-0265 route=north loop; quota=25; permission=read; window=13; cause=rain; action=delay.
In archive gamma, Unit-0266 must take route east ridge, has quota 32, uses permission survey, opens window 18, and if heat occurs then the required action is anchor. Query answer: Unit-0266 route=east ridge; quota=32; permission=survey; window=18; cause=heat; action=anchor.
In archive gamma, Unit-0267 must take route amber ferry, has quota 39, uses permission signal, opens window 5, and if static occurs then the required action is cooldown. Query answer: Unit-0267 route=amber ferry; quota=39; permission=signal; window=5; cause=static; action=cooldown.
In archive gamma, Unit-0268 must take route delta canal, has quota 46, uses permission dock, opens window 10, and if wind occurs then the required action is inspect. Query answer: Unit-0268 route=delta canal; quota=46; permission=dock; window=10; cause=wind; action=inspect.
In archive gamma, Unit-0269 must take route silver spur, has quota 53, uses permission export, opens window 15, and if fog occurs then the required action is reroute. Query answer: Unit-0269 route=silver spur; quota=53; permission=export; window=15; cause=fog; action=reroute.
