In archive delta, Unit-0000 must take route violet ferry, has quota 12, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0000 route=violet ferry; quota=12; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0138 must take route south loop, has quota 18, uses permission import, opens window 10, and if silence occurs then the required action is depart. Query answer: Unit-0138 route=south loop; quota=18; permission=import; window=10; cause=silence; action=depart.
In archive delta, Unit-0139 must take route west ridge, has quota 25, uses permission write, opens window 15, and if still air occurs then the required action is overheat. Query answer: Unit-0139 route=west ridge; quota=25; permission=write; window=15; cause=still air; action=overheat.
In archive delta, Unit-0140 must take route violet ferry, has quota 32, uses permission mine, opens window 2, and if clear sky occurs then the required action is skip. Query answer: Unit-0140 route=violet ferry; quota=32; permission=mine; window=2; cause=clear sky; action=skip.
In archive delta, Unit-0141 must take route omega canal, has quota 39, uses permission jam, opens window 7, and if drought occurs then the required action is release. Query answer: Unit-0141 route=omega canal; quota=39; permission=jam; window=7; cause=drought; action=release.
In archive delta, Unit-0142 must take route black spur, has quota 46, uses permission launch, opens window 12, and if frost occurs then the required action is advance. Query answer: Unit-0142 route=black spur; quota=46; permission=launch; window=12; cause=frost; action=advance.
In archive delta, Unit-0143 must take route south loop, has quota 53, uses permission import, opens window 17, and if silence occurs then the required action is depart. Query answer: Unit-0143 route=south loop; quota=53; permission=import; window=17; cause=silence; action=depart.
In archive delta, Unit-0144 must take route west ridge, has quota 60, uses permission write, opens window 4, and if still air occurs then the required action is overheat. Query answer: Unit-0144 route=west ridge; quota=60; permission=write; window=4; cause=still air; action=overheat.
In archive delta, Unit-0145 must take route violet ferry, has quota 67, uses permission mine, opens window 9, and if clear sky occurs then the required action is skip. Query answer: Unit-0145 route=violet ferry; quota=67; permission=mine; window=9; cause=clear sky; action=skip.
In archive delta, Unit-0146 must take route omega canal, has quota 74, uses permission jam, opens window 14, and if drought occurs then the required action is release. Query answer: Unit-0146 route=omega canal; quota=74; permission=jam; window=14; cause=drought; action=release.
In archive delta, Unit-0147 must take route black spur, has quota 81, uses permission launch, opens window 19, and if frost occurs then the required action is advance. Query answer: Unit-0147 route=black spur; quota=81; permission=launch; window=19; cause=frost; action=advance.
In archive delta, Unit-0148 must take route south loop, has quota 88, uses permission import, opens window 6, and if silence occurs then the required action is depart. Query answer: Unit-0148 route=south loop; quota=88; permission=import; window=6; cause=silence; action=depart.
In archive delta, Unit-0149 must take route west ridge, has quota 15, uses permission write, opens window 11, and if still air occurs then the required action is overheat. Query answer: Unit-0149 route=west ridge; quota=15; permission=write; window=11; cause=still air; action=overheat.
In archive delta, Unit-0150 must take route violet ferry, has quota 22, uses permission mine, opens window 16, and if clear sky occurs then the required action is skip. Query answer: Unit-0150 route=violet ferry; quota=22; permission=mine; window=16; cause=clear sky; action=skip.
In archive delta, Unit-0151 must take route omega canal, has quota 29, uses permission jam, opens window 3, and if drought occurs then the required action is release. Query answer: Unit-0151 route=omega canal; quota=29; permission=jam; window=3; cause=drought; action=release.
In archive delta, Unit-0152 must take route black spur, has quota 36, uses permission launch, opens window 8, and if frost occurs then the required action is advance. Query answer: Unit-0152 route=black spur; quota=36; permission=launch; window=8; cause=frost; action=advance.
In archive delta, Unit-0153 must take route south loop, has quota 43, uses permission import, opens window 13, and if silence occurs then the required action is depart. Query answer: Unit-0153 route=south loop; quota=43; permission=import; window=13; cause=silence; action=depart.
In archive delta, Unit-0154 must take route west ridge, has quota 50, uses permission write, opens window 18, and if still air occurs then the required action is overheat. Query answer: Unit-0154 route=west ridge; quota=50; permission=write; window=18; cause=still air; action=overheat.
In archive delta, Unit-0155 must take route violet ferry, has quota 57, uses permission mine, opens window 5, and if clear sky occurs then the required action is skip. Query answer: Unit-0155 route=violet ferry; quota=57; permission=mine; window=5; cause=clear sky; action=skip.
In archive delta, Unit-0156 must take route omega canal, has quota 64, uses permission jam, opens window 10, and if drought occurs then the required action is release. Query answer: Unit-0156 route=omega canal; quota=64; permission=jam; window=10; cause=drought; action=release.
In archive delta, Unit-0157 must take route black spur, has quota 71, uses permission launch, opens window 15, and if frost occurs then the required action is advance. Query answer: Unit-0157 route=black spur; quota=71; permission=launch; window=15; cause=frost; action=advance.
In archive delta, Unit-0158 must take route south loop, has quota 78, uses permission import, opens window 2, and if silence occurs then the required action is depart. Query answer: Unit-0158 route=south loop; quota=78; permission=import; window=2; cause=silence; action=depart.
In archive delta, Unit-0159 must take route west ridge, has quota 85, uses permission write, opens window 7, and if still air occurs then the required action is overheat. Query answer: Unit-0159 route=west ridge; quota=85; permission=write; window=7; cause=still air; action=overheat.
In archive delta, Unit-0160 must take route violet ferry, has quota 12, uses permission mine, opens window 12, and if clear sky occurs then the required action is skip. Query answer: Unit-0160 route=violet ferry; quota=12; permission=mine; window=12; cause=clear sky; action=skip.
In archive delta, Unit-0161 must take route omega canal, has quota 19, uses permission jam, opens window 17, and if drought occurs then the required action is release. Query answer: Unit-0161 route=omega canal; quota=19; permission=jam; window=17; cause=drought; action=release.
In archive delta, Unit-0162 must take route black spur, has quota 26, uses permission launch, opens window 4, and if frost occurs then the required action is advance. Query answer: Unit-0162 route=black spur; quota=26; permission=launch; window=4; cause=frost; action=advance.
In archive delta, Unit-0163 must take route south loop, has quota 33, uses permission import, opens window 9, and if silence occurs then the required action is depart. Query answer: Unit-0163 route=south loop; quota=33; permission=import; window=9; cause=silence; action=depart.
In archive delta, Unit-0164 must take route west ridge, has quota 40, uses permission write, opens window 14, and if still air occurs then the required action is overheat. Query answer: Unit-0164 route=west ridge; quota=40; permission=write; window=14; cause=still air; action=overheat.
In archive delta, Unit-0165 must take route violet ferry, has quota 47, uses permission mine, opens window 19, and if clear sky occurs then the required action is skip. Query answer: Unit-0165 route=violet ferry; quota=47; permission=mine; window=19; cause=clear sky; action=skip.
In archive delta, Unit-0166 must take route omega canal, has quota 54, uses permission jam, opens window 6, and if drought occurs then the required action is release. Query answer: Unit-0166 route=omega canal; quota=54; permission=jam; window=6; cause=drought; action=release.
In archive delta, Unit-0167 must take route black spur, has quota 61, uses permission launch, opens window 11, and if frost occurs then the required action is advance. Query answer: Unit-0167 route=black spur; quota=61; permission=launch; window=11; cause=frost; action=advance.
In archive delta, Unit-0168 must take route south loop, has quota 68, uses permission import, opens window 16, and if silence occurs then the required action is depart. Query answer: Unit-0168 route=south loop; quota=68; permission=import; window=16; cause=silence; action=depart.
In archive delta, Unit-0169 must take route west ridge, has quota 75, uses permission write, opens window 3, and if still air occurs then the required action is overheat. Query answer: Unit-0169 route=west ridge; quota=75; permission=write; window=3; cause=still air; action=overheat.
In archive delta, Unit-0170 must take route violet ferry, has quota 82, uses permission mine, opens window 8, and if clear sky occurs then the required action is skip. Query answer: Unit-0170 route=violet ferry; quota=82; permission=mine; window=8; cause=clear sky; action=skip.
In archive delta, Unit-0171 must take route omega canal, has quota 89, uses permission jam, opens window 13, and if drought occurs then the required action is release. Query answer: Unit-0171 route=omega canal; quota=89; permission=jam; window=13; cause=drought; action=release.
In archive delta, Unit-0172 must take route black spur, has quota 16, uses permission launch, opens window 18, and if frost occurs then the required action is advance. Query answer: Unit-0172 route=black spur; quota=16; permission=launch; window=18; cause=frost; action=advance.
In archive delta, Unit-0173 must take route south loop, has quota 23, uses permission import, opens window 5, and if silence occurs then the required action is depart. Query answer: Unit-0173 route=south loop; quota=23; permission=import; window=5; cause=silence; action=depart.
In archive delta, Unit-0174 must take route west ridge, has quota 30, uses permission write, opens window 10, and if still air occurs then the required action is overheat. Query answer: Unit-0174 route=west ridge; quota=30; permission=write; window=10; cause=still air; action=overheat.
In archive delta, Unit-0175 must take route violet ferry, has quota 37, uses permission mine, opens window 15, and if clear sky occurs then the required action is skip. Query answer: Unit-0175 route=violet ferry; quota=37; permission=mine; window=15; cause=clear sky; action=skip.
In archive delta, Unit-0176 must take route omega canal, has quota 44, uses permission jam, opens window 2, and if drought occurs then the required action is release. Query answer: Unit-0176 route=omega canal; quota=44; permission=jam; window=2; cause=drought; action=release.
In archive delta, Unit-0177 must take route black spur, has quota 51, uses permission launch, opens window 7, and if frost occurs then the required action is advance. Query answer: Unit-0177 route=black spur; quota=51; permission=launch; window=7; cause=frost; action=advance.
In archive delta, Unit-0178 must take route south loop, has quota 58, uses permission import, opens window 12, and if silence occurs then the required action is depart. Query answer: Unit-0178 route=south loop; quota=58; permission=import; window=12; cause=silence; action=depart.
In archive delta, Unit-0179 must take route west ridge, has quota 65, uses permission write, opens window 17, and if still air occurs then the required action is overheat. Query answer: Unit-0179 route=west ridge; quota=65; permission=write; window=17; cause=still air; action=overheat.
In archive delta, Unit-0180 must take route violet ferry, has quota 72, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0180 route=violet ferry; quota=72; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0181 must take route omega canal, has quota 79, uses permission jam, opens window 9, and if drought occurs then the required action is release. Query answer: Unit-0181 route=omega canal; quota=79; permission=jam; window=9; cause=drought; action=release.
In archive delta, Unit-0182 must take route black spur, has quota 86, uses permission launch, opens window 14, and if frost occurs then the required action is advance. Query answer: Unit-0182 route=black spur; quota=86; permission=launch; window=14; cause=frost; action=advance.
In archive delta, Unit-0183 must take route south loop, has quota 13, uses permission import, opens window 19, and if silence occurs then the required action is depart. Query answer: Unit-0183 route=south loop; quota=13; permission=import; window=19; cause=silence; action=depart.
In archive delta, Unit-0184 must take route west ridge, has quota 20, uses permission write, opens window 6, and if still air occurs then the required action is overheat. Query answer: Unit-0184 route=west ridge; quota=20; permission=write; window=6; cause=still air; action=overheat.
In archive delta, Unit-0185 must take route violet ferry, has quota 27, uses permission mine, opens window 11, and if clear sky occurs then the required action is skip. Query answer: Unit-0185 route=violet ferry; quota=27; permission=mine; window=11; cause=clear sky; action=skip.
In archive delta, Unit-0186 must take route omega canal, has quota 34, uses permission jam, opens window 16, and if drought occurs then the required action is release. Query answer: Unit-0186 route=omega canal; quota=34; permission=jam; window=16; cause=drought; action=release.
In archive delta, Unit-0187 must take route black spur, has quota 41, uses permission launch, opens window 3, and if frost occurs then the required action is advance. Query answer: Unit-0187 route=black spur; quota=41; permission=launch; window=3; cause=frost; action=advance.
In archive delta, Unit-0188 must take route south loop, has quota 48, uses permission import, opens window 8, and if silence occurs then the required action is depart. Query answer: Unit-0188 route=south loop; quota=48; permission=import; window=8; cause=silence; action=depart.
In archive delta, Unit-0189 must take route west ridge, has quota 55, uses permission write, opens window 13, and if still air occurs then the required action is overheat. Query answer: Unit-0189 route=west ridge; quota=55; permission=write; window=13; cause=still air; action=overheat.
In archive delta, Unit-0190 must take route violet ferry, has quota 62, uses permission mine, opens window 18, and if clear sky occurs then the required action is skip. Query answer: Unit-0190 route=violet ferry; quota=62; permission=mine; window=18; cause=clear sky; action=skip.
In archive delta, Unit-0191 must take route omega canal, has quota 69, uses permission jam, opens window 5, and if drought occurs then the required action is release. Query answer: Unit-0191 route=omega canal; quota=69; permission=jam; window=5; cause=drought; action=release.
In archive delta, Unit-0192 must take route black spur, has quota 76, uses permission launch, opens window 10, and if frost occurs then the required action is advance. Query answer: Unit-0192 route=black spur; quota=76; permission=launch; window=10; cause=frost; action=advance.
In archive delta, Unit-0193 must take route south loop, has quota 83, uses permission import, opens window 15, and if silence occurs then the required action is depart. Query answer: Unit-0193 route=south loop; quota=83; permission=import; window=15; cause=silence; action=depart.
In archive delta, Unit-0194 must take route west ridge, has quota 10, uses permission write, opens window 2, and if still air occurs then the required action is overheat. Query answer: Unit-0194 route=west ridge; quota=10; permission=write; window=2; cause=still air; action=overheat.
In archive delta, Unit-0195 must take route violet ferry, has quota 17, uses permission mine, opens window 7, and if clear sky occurs then the required action is skip. Query answer: Unit-0195 route=violet ferry; quota=17; permission=mine; window=7; cause=clear sky; action=skip.
In archive delta, Unit-0196 must take route omega canal, has quota 24, uses permission jam, opens window 12, and if drought occurs then the required action is release. Query answer: Unit-0196 route=omega canal; quota=24; permission=jam; window=12; cause=drought; action=release.
In archive delta, Unit-0197 must take route black spur, has quota 31, uses permission launch, opens window 17, and if frost occurs then the required action is advance. Query answer: Unit-0197 route=black spur; quota=31; permission=launch; window=17; cause=frost; action=advance.
In archive delta, Unit-0198 must take route south loop, has quota 38, uses permission import, opens window 4, and if silence occurs then the required action is depart. Query answer: Unit-0198 route=south loop; quota=38; permission=import; window=4; cause=silence; action=depart.
In archive delta, Unit-0199 must take route west ridge, has quota 45, uses permission write, opens window 9, and if still air occurs then the required action is overheat. Query answer: Unit-0199 route=west ridge; quota=45; permission=write; window=9; cause=still air; action=overheat.
In archive delta, Unit-0200 must take route violet ferry, has quota 52, uses permission mine, opens window 14, and if clear sky occurs then the required action is skip. Query answer: Unit-0200 route=violet ferry; quota=52; permission=mine; window=14; cause=clear sky; action=skip.
In archive delta, Unit-0201 must take route omega canal, has quota 59, uses permission jam, opens window 19, and if drought occurs then the required action is release. Query answer: Unit-0201 route=omega canal; quota=59; permission=jam; window=19; cause=drought; action=release.
In archive delta, Unit-0202 must take route black spur, has quota 66, uses permission launch, opens window 6, and if frost occurs then the required action is advance. Query answer: Unit-0202 route=black spur; quota=66; permission=launch; window=6; cause=frost; action=advance.
In archive delta, Unit-0203 must take route south loop, has quota 73, uses permission import, opens window 11, and if silence occurs then the required action is depart. Query answer: Unit-0203 route=south loop; quota=73; permission=import; window=11; cause=silence; action=depart.
In archive delta, Unit-0204 must take route west ridge, has quota 80, uses permission write, opens window 16, and if still air occurs then the required action is overheat. Query answer: Unit-0204 route=west ridge; quota=80; permission=write; window=16; cause=still air; action=overheat.
In archive delta, Unit-0205 must take route violet ferry, has quota 87, uses permission mine, opens window 3, and if clear sky occurs then the required action is skip. Query answer: Unit-0205 route=violet ferry; quota=87; permission=mine; window=3; cause=clear sky; action=skip.
In archive delta, Unit-0206 must take route omega canal, has quota 14, uses permission jam, opens window 8, and if drought occurs then the required action is release. Query answer: Unit-0206 route=omega canal; quota=14; permission=jam; window=8; cause=drought; action=release.
In archive delta, Unit-0207 must take route black spur, has quota 21, uses permission launch, opens window 13, and if frost occurs then the required action is advance. Query answer: Unit-0207 route=black spur; quota=21; permission=launch; window=13; cause=frost; action=advance.
In archive delta, Unit-0208 must take route south loop, has quota 28, uses permission import, opens window 18, and if silence occurs then the required action is depart. Query answer: Unit-0208 route=south loop; quota=28; permission=import; window=18; cause=silence; action=depart.
In archive delta, Unit-0209 must take route west ridge, has quota 35, uses permission write, opens window 5, and if still air occurs then the required action is overheat. Query answer: Unit-0209 route=west ridge; quota=35; permission=write; window=5; cause=still air; action=overheat.
In archive delta, Unit-0210 must take route violet ferry, has quota 42, uses permission mine, opens window 10, and if clear sky occurs then the required action is skip. Query answer: Unit-0210 route=violet ferry; quota=42; permission=mine; window=10; cause=clear sky; action=skip.
In archive delta, Unit-0211 must take route omega canal, has quota 49, uses permission jam, opens window 15, and if drought occurs then the required action is release. Query answer: Unit-0211 route=omega canal; quota=49; permission=jam; window=15; cause=drought; action=release.
In archive delta, Unit-0212 must take route black spur, has quota 56, uses permission launch, opens window 2, and if frost occurs then the required action is advance. Query answer: Unit-0212 route=black spur; quota=56; permission=launch; window=2; cause=frost; action=advance.
In archive delta, Unit-0213 must take route south loop, has quota 63, uses permission import, opens window 7, and if silence occurs then the required action is depart. Query answer: Unit-0213 route=south loop; quota=63; permission=import; window=7; cause=silence; action=depart.
In archive delta, Unit-0214 must take route west ridge, has quota 70, uses permission write, opens window 12, and if still air occurs then the required action is overheat. Query answer: Unit-0214 route=west ridge; quota=70; permission=write; window=12; cause=still air; action=overheat.
In archive delta, Unit-0215 must take route violet ferry, has quota 77, uses permission mine, opens window 17, and if clear sky occurs then the required action is skip. Query answer: Unit-0215 route=violet ferry; quota=77; permission=mine; window=17; cause=clear sky; action=skip.
In archive delta, Unit-0216 must take route omega canal, has quota 84, uses permission jam, opens window 4, and if drought occurs then the required action is release. Query answer: Unit-0216 route=omega canal; quota=84; permission=jam; window=4; cause=drought; action=release.
In archive delta, Unit-0217 must take route black spur, has quota 11, uses permission launch, opens window 9, and if frost occurs then the required action is advance. Query answer: Unit-0217 route=black spur; quota=11; permission=launch; window=9; cause=frost; action=advance.
In archive delta, Unit-0218 must take route south loop, has quota 18, uses permission import, opens window 14, and if silence occurs then the required action is depart. Query answer: Unit-0218 route=south loop; quota=18; permission=import; window=14; cause=silence; action=depart.
In archive delta, Unit-0219 must take route west ridge, has quota 25, uses permission write, opens window 19, and if still air occurs then the required action is overheat. Query answer: Unit-0219 route=west ridge; quota=25; permission=write; window=19; cause=still air; action=overheat.
In archive delta, Unit-0220 must take route violet ferry, has quota 32, uses permission mine, opens window 6, and if clear sky occurs then the required action is skip. Query answer: Unit-0220 route=violet ferry; quota=32; permission=mine; window=6; cause=clear sky; action=skip.
In archive delta, Unit-0221 must take route omega canal, has quota 39, uses permission jam, opens window 11, and if drought occurs then the required action is release. Query answer: Unit-0221 route=omega canal; quota=39; permission=jam; window=11; cause=drought; action=release.
In archive delta, Unit-0222 must take route black spur, has quota 46, uses permission launch, opens window 16, and if frost occurs then the required action is advance. Query answer: Unit-0222 route=black spur; quota=46; permission=launch; window=16; cause=frost; action=advance.
In archive delta, Unit-0223 must take route south loop, has quota 53, uses permission import, opens window 3, and if silence occurs then the required action is depart. Query answer: Unit-0223 route=south loop; quota=53; permission=import; window=3; cause=silence; action=depart.
In archive delta, Unit-0224 must take route west ridge, has quota 60, uses permission write, opens window 8, and if still air occurs then the required action is overheat. Query answer: Unit-0224 route=west ridge; quota=60; permission=write; window=8; cause=still air; action=overheat.
In archive delta, Unit-0225 must take route violet ferry, has quota 67, uses permission mine, opens window 13, and if clear sky occurs then the required action is skip. Query answer: Unit-0225 route=violet ferry; quota=67; permission=mine; window=13; cause=clear sky; action=skip.
In archive delta, Unit-0226 must take route omega canal, has quota 74, uses permission jam, opens window 18, and if drought occurs then the required action is release. Query answer: Unit-0226 route=omega canal; quota=74; permission=jam; window=18; cause=drought; action=release.
In archive delta, Unit-0227 must take route black spur, has quota 81, uses permission launch, opens window 5, and if frost occurs then the required action is advance. Query answer: Unit-0227 route=black spur; quota=81; permission=launch; window=5; cause=frost; action=advance.
In archive delta, Unit-0228 must take route south loop, has quota 88, uses permission import, opens window 10, and if silence occurs then the required action is depart. Query answer: Unit-0228 route=south loop; quota=88; permission=import; window=10; cause=silence; action=depart.
In archive delta, Unit-0229 must take route west ridge, has quota 15, uses permission write, opens window 15, and if still air occurs then the required action is overheat. Query answer: Unit-0229 route=west ridge; quota=15; permission=write; window=15; cause=still air; action=overheat.
In archive delta, Unit-0230 must take route violet ferry, has quota 22, uses permission mine, opens window 2, and if clear sky occurs then the required action is skip. Query answer: Unit-0230 route=violet ferry; quota=22; permission=mine; window=2; cause=clear sky; action=skip.
In archive delta, Unit-0231 must take route omega canal, has quota 29, uses permission jam, opens window 7, and if drought occurs then the required action is release. Query answer: Unit-0231 route=omega canal; quota=29; permission=jam; window=7; cause=drought; action=release.
In archive delta, Unit-0232 must take route black spur, has quota 36, uses permission launch, opens window 12, and if frost occurs then the required action is advance. Query answer: Unit-0232 route=black spur; quota=36; permission=launch; window=12; cause=frost; action=advance.
In archive delta, Unit-0233 must take route south loop, has quota 43, uses permission import, opens window 17, and if silence occurs then the required action is depart. Query answer: Unit-0233 route=south loop; quota=43; permission=import; window=17; cause=silence; action=depart.
In archive delta, Unit-0234 must take route west ridge, has quota 50, uses permission write, opens window 4, and if still air occurs then the required action is overheat. Query answer: Unit-0234 route=west ridge; quota=50; permission=write; window=4; cause=still air; action=overheat.
In archive delta, Unit-0235 must take route violet ferry, has quota 57, uses permission mine, opens window 9, and if clear sky occurs then the required action is skip. Query answer: Unit-0235 route=violet ferry; quota=57; permission=mine; window=9; cause=clear sky; action=skip.
In archive delta, Unit-0236 must take route omega canal, has quota 64, uses permission jam, opens window 14, and if drought occurs then the required action is release. Query answer: Unit-0236 route=omega canal; quota=64; permission=jam; window=14; cause=drought; action=release.
In archive delta, Unit-0237 must take route black spur, has quota 71, uses permission launch, opens window 19, and if frost occurs then the required action is advance. Query answer: Unit-0237 route=black spur; quota=71; permission=launch; window=19; cause=frost; action=advance.
In archive delta, Unit-0238 must take route south loop, has quota 78, uses permission import, opens window 6, and if silence occurs then the required action is depart. Query answer: Unit-0238 route=south loop; quota=78; permission=import; window=6; cause=silence; action=depart.
In archive delta, Unit-0239 must take route west ridge, has quota 85, uses permission write, opens window 11, and if still air occurs then the required action is overheat. Query answer: Unit-0239 route=west ridge; quota=85; permission=write; window=11; cause=still air; action=overheat.
In archive delta, Unit-0240 must take route violet ferry, has quota 12, uses permission mine, opens window 16, and if clear sky occurs then the required action is skip. Query answer: Unit-0240 route=violet ferry; quota=12; permission=mine; window=16; cause=clear sky; action=skip.
In archive delta, Unit-0241 must take route omega canal, has quota 19, uses permission jam, opens window 3, and if drought occurs then the required action is release. Query answer: Unit-0241 route=omega canal; quota=19; permission=jam; window=3; cause=drought; action=release.
In archive delta, Unit-0242 must take route black spur, has quota 26, uses permission launch, opens window 8, and if frost occurs then the required action is advance. Query answer: Unit-0242 route=black spur; quota=26; permission=launch; window=8; cause=frost; action=advance.
In archive delta, Unit-0243 must take route south loop, has quota 33, uses permission import, opens window 13, and if silence occurs then the required action is depart. Query answer: Unit-0243 route=south loop; quota=33; permission=import; window=13; cause=silence; action=depart.
In archive delta, Unit-0244 must take route west ridge, has quota 40, uses permission write, opens window 18, and if still air occurs then the required action is overheat. Query answer: Unit-0244 route=west ridge; quota=40; permission=write; window=18; cause=still air; action=overheat.
In archive delta, Unit-0245 must take route violet ferry, has quota 47, uses permission mine, opens window 5, and if clear sky occurs then the required action is skip. Query answer: Unit-0245 route=violet ferry; quota=47; permission=mine; window=5; cause=clear sky; action=skip.
In archive delta, Unit-0246 must take route omega canal, has quota 54, uses permission jam, opens window 10, and if drought occurs then the required action is release. Query answer: Unit-0246 route=omega canal; quota=54; permission=jam; window=10; cause=drought; action=release.
In archive delta, Unit-0247 must take route black spur, has quota 61, uses permission launch, opens window 15, and if frost occurs then the required action is advance. Query answer: Unit-0247 route=black spur; quota=61; permission=launch; window=15; cause=frost; action=advance.
In archive delta, Unit-0248 must take route south loop, has quota 68, uses permission import, opens window 2, and if silence occurs then the required action is depart. Query answer: Unit-0248 route=south loop; quota=68; permission=import; window=2; cause=silence; action=depart.
In archive delta, Unit-0249 must take route west ridge, has quota 75, uses permission write, opens window 7, and if still air occurs then the required action is overheat. Query answer: Unit-0249 route=west ridge; quota=75; permission=write; window=7; cause=still air; action=overheat.
In archive delta, Unit-0250 must take route violet ferry, has quota 82, uses permission mine, opens window 12, and if clear sky occurs then the required action is skip. Query answer: Unit-0250 route=violet ferry; quota=82; permission=mine; window=12; cause=clear sky; action=skip.
In archive delta, Unit-0251 must take route omega canal, has quota 89, uses permission jam, opens window 17, and if drought occurs then the required action is release. Query answer: Unit-0251 route=omega canal; quota=89; permission=jam; window=17; cause=drought; action=release.
In archive delta, Unit-0252 must take route black spur, has quota 16, uses permission launch, opens window 4, and if frost occurs then the required action is advance. Query answer: Unit-0252 route=black spur; quota=16; permission=launch; window=4; cause=frost; action=advance.
In archive delta, Unit-0253 must take route south loop, has quota 23, uses permission import, opens window 9, and if silence occurs then the required action is depart. Query answer: Unit-0253 route=south loop; quota=23; permission=import; window=9; cause=silence; action=depart.
In archive delta, Unit-0254 must take route west ridge, has quota 30, uses permission write, opens window 14, and if still air occurs then the required action is overheat. Query answer: Unit-0254 route=west ridge; quota=30; permission=write; window=14; cause=still air; action=overheat.
In archive delta, Unit-0255 must take route violet ferry, has quota 37, uses permission mine, opens window 19, and if clear sky occurs then the required action is skip. Query answer: Unit-0255 route=violet ferry; quota=37; permission=mine; window=19; cause=clear sky; action=skip.
In archive delta, Unit-0256 must take route omega canal, has quota 44, uses permission jam, opens window 6, and if drought occurs then the required action is release. Query answer: Unit-0256 route=omega canal; quota=44; permission=jam; window=6; cause=drought; action=release.
In archive delta, Unit-0257 must take route black spur, has quota 51, uses permission launch, opens window 11, and if frost occurs then the required action is advance. Query answer: Unit-0257 route=black spur; quota=51; permission=launch; window=11; cause=frost; action=advance.
In archive delta, Unit-0258 must take route south loop, has quota 58, uses permission import, opens window 16, and if silence occurs then the required action is depart. Query answer: Unit-0258 route=south loop; quota=58; permission=import; window=16; cause=silence; action=depart.
In archive delta, Unit-0259 must take route west ridge, has quota 65, uses permission write, opens window 3, and if still air occurs then the required action is overheat. Query answer: Unit-0259 route=west ridge; quota=65; permission=write; window=3; cause=still air; action=overheat.
In archive delta, Unit-0260 must take route violet ferry, has quota 72, uses permission mine, opens window 8, and if clear sky occurs then the required action is skip. Query answer: Unit-0260 route=violet ferry; quota=72; permission=mine; window=8; cause=clear sky; action=skip.
In archive delta, Unit-0261 must take route omega canal, has quota 79, uses permission jam, opens window 13, and if drought occurs then the required action is release. Query answer: Unit-0261 route=omega canal; quota=79; permission=jam; window=13; cause=drought; action=release.
In archive delta, Unit-0262 must take route black spur, has quota 86, uses permission launch, opens window 18, and if frost occurs then the required action is advance. Query answer: Unit-0262 route=black spur; quota=86; permission=launch; window=18; cause=frost; action=advance.
In archive delta, Unit-0263 must take route south loop, has quota 13, uses permission import, opens window 5, and if silence occurs then the required action is depart. Query answer: Unit-0263 route=south loop; quota=13; permission=import; window=5; cause=silence; action=depart.
In archive delta, Unit-0264 must take route west ridge, has quota 20, uses permission write, opens window 10, and if still air occurs then the required action is overheat. Query answer: Unit-0264 route=west ridge; quota=20; permission=write; window=10; cause=still air; action=overheat.
In archive delta, Unit-0265 must take route violet ferry, has quota 27, uses permission mine, opens window 15, and if clear sky occurs then the required action is skip. Query answer: Unit-0265 route=violet ferry; quota=27; permission=mine; window=15; cause=clear sky; action=skip.
In archive delta, Unit-0266 must take route omega canal, has quota 34, uses permission jam, opens window 2, and if drought occurs then the required action is release. Query answer: Unit-0266 route=omega canal; quota=34; permission=jam; window=2; cause=drought; action=release.
In archive delta, Unit-0267 must take route black spur, has quota 41, uses permission launch, opens window 7, and if frost occurs then the required action is advance. Query answer: Unit-0267 route=black spur; quota=41; permission=launch; window=7; cause=frost; action=advance.
In archive delta, Unit-0268 must take route south loop, has quota 48, uses permission import, opens window 12, and if silence occurs then the required action is depart. Query answer: Unit-0268 route=south loop; quota=48; permission=import; window=12; cause=silence; action=depart.
In archive delta, Unit-0269 must take route west ridge, has quota 55, uses permission write, opens window 17, and if still air occurs then the required action is overheat. Query answer: Unit-0269 route=west ridge; quota=55; permission=write; window=17; cause=still air; action=overheat.
In archive delta, Unit-0270 must take route violet ferry, has quota 62, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0270 route=violet ferry; quota=62; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0271 must take route omega canal, has quota 69, uses permission jam, opens window 9, and if drought occurs then the required action is release. Query answer: Unit-0271 route=omega canal; quota=69; permission=jam; window=9; cause=drought; action=release.
In archive delta, Unit-0272 must take route black spur, has quota 76, uses permission launch, opens window 14, and if frost occurs then the required action is advance. Query answer: Unit-0272 route=black spur; quota=76; permission=launch; window=14; cause=frost; action=advance.
In archive delta, Unit-0273 must take route south loop, has quota 83, uses permission import, opens window 19, and if silence occurs then the required action is depart. Query answer: Unit-0273 route=south loop; quota=83; permission=import; window=19; cause=silence; action=depart.
In archive delta, Unit-0274 must take route west ridge, has quota 10, uses permission write, opens window 6, and if still air occurs then the required action is overheat. Query answer: Unit-0274 route=west ridge; quota=10; permission=write; window=6; cause=still air; action=overheat.
In archive delta, Unit-0275 must take route violet ferry, has quota 17, uses permission mine, opens window 11, and if clear sky occurs then the required action is skip. Query answer: Unit-0275 route=violet ferry; quota=17; permission=mine; window=11; cause=clear sky; action=skip.
