Conflict record for Entity-0001: Entity-0001 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0001: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0020: Entity-0020 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0020: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0255: Entity-0255 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0255: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0114: Entity-0114 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0114: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0139: Entity-0139 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0139: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0036: Entity-0036 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0036: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0061: Entity-0061 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0061: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0056: Entity-0056 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0056: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0145: Entity-0145 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0145: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0048: Entity-0048 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0048: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0016: Entity-0016 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0016: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0225: Entity-0225 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0225: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0083: Entity-0083 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0083: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0219: Entity-0219 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0219: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0062: Entity-0062 now has color violet, station Kestrel, role archivist, and object ledger. Conflict answer for Entity-0062: color=violet; station=Kestrel; role=archivist; object=ledger.
Conflict record for Entity-0085: Entity-0085 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0085: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0126: Entity-0126 now has color violet, station Kestrel, role archivist, and object ledger. Conflict answer for Entity-0126: color=violet; station=Kestrel; role=archivist; object=ledger.
Conflict record for Entity-0208: Entity-0208 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0208: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0000: Entity-0000 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0000: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0160: Entity-0160 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0160: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0171: Entity-0171 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0171: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0181: Entity-0181 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0181: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0102: Entity-0102 now has color violet, station Kestrel, role archivist, and object ledger. Conflict answer for Entity-0102: color=violet; station=Kestrel; role=archivist; object=ledger.
Conflict record for Entity-0184: Entity-0184 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0184: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0023: Entity-0023 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0023: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0003: Entity-0003 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0003: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0140: Entity-0140 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0140: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0015: Entity-0015 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0015: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0250: Entity-0250 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0250: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0133: Entity-0133 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0133: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0113: Entity-0113 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0113: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0241: Entity-0241 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0241: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0141: Entity-0141 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0141: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0052: Entity-0052 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0052: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0163: Entity-0163 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0163: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0156: Entity-0156 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0156: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0080: Entity-0080 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0080: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0111: Entity-0111 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0111: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0090: Entity-0090 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0090: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0220: Entity-0220 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0220: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0143: Entity-0143 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0143: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0120: Entity-0120 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0120: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0084: Entity-0084 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0084: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0175: Entity-0175 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0175: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0217: Entity-0217 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0217: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0018: Entity-0018 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0018: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0186: Entity-0186 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0186: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0025: Entity-0025 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0025: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0079: Entity-0079 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0079: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0037: Entity-0037 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0037: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0154: Entity-0154 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0154: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0207: Entity-0207 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0207: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0180: Entity-0180 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0180: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0136: Entity-0136 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0136: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0064: Entity-0064 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0064: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0204: Entity-0204 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0204: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0158: Entity-0158 now has color violet, station Kestrel, role archivist, and object ledger. Conflict answer for Entity-0158: color=violet; station=Kestrel; role=archivist; object=ledger.
Conflict record for Entity-0024: Entity-0024 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0024: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0193: Entity-0193 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0193: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0234: Entity-0234 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0234: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0072: Entity-0072 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0072: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0035: Entity-0035 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0035: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0129: Entity-0129 now has color amber, station Cinder, role miner, and object lantern. Conflict answer for Entity-0129: color=amber; station=Cinder; role=miner; object=lantern.
Conflict record for Entity-0055: Entity-0055 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0055: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0232: Entity-0232 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0232: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0228: Entity-0228 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0228: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0149: Entity-0149 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0149: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0091: Entity-0091 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0091: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0122: Entity-0122 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0122: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0077: Entity-0077 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0077: color=orange; station=Helio; role=engineer; object=engine.
Conflict record for Entity-0212: Entity-0212 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0212: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0200: Entity-0200 now has color blue, station Aster, role pilot, and object compass. Conflict answer for Entity-0200: color=blue; station=Aster; role=pilot; object=compass.
Conflict record for Entity-0235: Entity-0235 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0235: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0103: Entity-0103 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0103: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0124: Entity-0124 now has color teal, station Prax, role merchant, and object scale. Conflict answer for Entity-0124: color=teal; station=Prax; role=merchant; object=scale.
Conflict record for Entity-0130: Entity-0130 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0130: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0247: Entity-0247 now has color green, station Moss, role botanist, and object orchid. Conflict answer for Entity-0247: color=green; station=Moss; role=botanist; object=orchid.
Conflict record for Entity-0066: Entity-0066 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0066: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0010: Entity-0010 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0010: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0107: Entity-0107 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0107: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0227: Entity-0227 now has color ivory, station Nadir, role weaver, and object loom. Conflict answer for Entity-0227: color=ivory; station=Nadir; role=weaver; object=loom.
Conflict record for Entity-0194: Entity-0194 now has color cyan, station Junra, role judge, and object gavel. Conflict answer for Entity-0194: color=cyan; station=Junra; role=judge; object=gavel.
Conflict record for Entity-0197: Entity-0197 now has color orange, station Helio, role engineer, and object engine. Conflict answer for Entity-0197: color=orange; station=Helio; role=engineer; object=engine.
